sku,image name,title,brand,product_type,length
331415R-673,,331415R-673 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-601,,331415R-601 - HP 4.3GB 4200RPM IDE Ultra ATA-33 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-687,,331415R-687 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-693,,331415R-693 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-645,,331415R-645 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
348339R-001,,348339R-001 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-372,,331415R-372 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-388,,331415R-388 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-389,,331415R-389 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-397,,331415R-397 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-653,,331415R-653 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
433147R-001,,433147R-001 - HP 160GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
418507R-001,,418507R-001 - HP 60GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
390446R-001,,390446R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-628,,331415R-628 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
395293R-003,,395293R-003 - HP 100GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
395292R-004,,395292R-004 - HP 80GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
430182R-001,,430182R-001 - HP 60GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
397830R-006,,397830R-006 - HP 80GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
395293R-002,,395293R-002 - HP 100GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
413432R-001,,413432R-001 - HP 80GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
415585R-001,,415585R-001 - HP 80GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
413853R-001,,413853R-001 - HP 100GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-615,,331415R-615 - HP 4.3GB 4200RPM IDE Ultra ATA-33 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
416895R-001,,416895R-001 - HP 60GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
413431R-001,,413431R-001 - HP 60GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
466103R-001,,466103R-001 - HP 160GB 7200RPM SATA 3GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
418262R-001,,418262R-001 - HP 40GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
503732R-001,,503732R-001 - HP 160GB 5400RPM SATA 3Gb/s 1.8-inch Hard Drive,HP,Laptop Hard Drive,11
438385R-001,,438385R-001 - HP 80GB 4200RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-600,,331415R-600 - HP 4.3GB 4200RPM IDE Ultra ATA-33 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-618,,331415R-618 - HP 4.3GB 4200RPM IDE Ultra ATA-33 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-603,,331415R-603 - HP 4.3GB 4200RPM IDE Ultra ATA-33 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
575402R-001,,575402R-001 - HP 500GB 5400RPM SATA 3Gb/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
409063R-001,,409063R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
273421R-001,,273421R-001 - HP 60GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
413850R-001,,413850R-001 - HP 40GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
512314R-001,,512314R-001 - HP 160GB 7200RPM SATA 3GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
437958R-001,,437958R-001 - HP 160GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
361613R-001,,361613R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
418576R-001,,418576R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
393548R-001,,393548R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
374731R-001,,374731R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
383487R-001,,383487R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
372776R-001,,372776R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
411901R-001,,411901R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
409545R-001,,409545R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
394358R-001,,394358R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
376267R-001,,376267R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
377651R-001,,377651R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
416949R-001,,416949R-001 - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
315961R-120,,315961R-120 - HP 120GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
501912R-001,,501912R-001 - HP 400GB 5400RPM SATA 3GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
410054R-001,,410054R-001 - HP 80GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
DC894AR-ABA,,DC894AR-ABA - HP 60GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
418859R-001,,418859R-001 - HP 60GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
409980R-001,,409980R-001 - HP 60GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
413851R-001,,413851R-001 - HP 60GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
419125R-001,,419125R-001 - HP 60GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
412365R-001,,412365R-001 - HP 60GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
480600R-001,,480600R-001 - HP 250GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
503486R-001,,503486R-001 - HP 160GB 7200RPM SATA 3GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
447361R-002,,447361R-002 - HP 160GB 7200RPM SATA 3GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
315961R-101,,315961R-101 - HP 100GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
407850R-001,,407850R-001 - HP 60GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
